magic,size,crc16,status_flags,time_boot_ms,ms5607_pressure_mbar,ms5607_temperature_c,bmi323_accel_x,bmi323_accel_y,bmi323_accel_z,bmi323_gyro_x,bmi323_gyro_y,bmi323_gyro_z,adxl375_accel_x,adxl375_accel_y,adxl375_accel_z,bm1422_magn_x,bm1422_magn_y,bm1422_magn_z,gps_lat,gps_lng,gps_alt,gps_speed,gps_course,gps_num_sats
"COREYMAY3",98,30359,0,9486615,901.780029,52.730000,0.087790,0.056532,0.995360,-0.182927,-0.121951,-0.121951,0.539000,0.245000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,23843,0,9486625,901.780029,52.730000,0.095726,0.061416,1.000244,-0.182927,-0.121951,-0.243902,0.539000,0.245000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,22930,0,9486635,901.789978,52.730000,0.099023,0.054457,0.985470,-0.182927,-0.121951,0.365854,0.637000,0.245000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,16202,0,9486645,901.789978,52.730000,0.097558,0.057387,1.000855,-0.121951,-0.060976,0.182927,0.490000,0.392000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,47499,0,9486655,901.789978,52.730000,0.095360,0.057021,0.993040,-0.060976,-0.121951,0.426829,0.490000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,24673,0,9486665,901.789978,52.730000,0.096337,0.060928,0.996581,-0.121951,-0.121951,0.060976,0.490000,0.343000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,54179,0,9486675,901.809998,52.730000,0.092063,0.054457,1.010256,-0.182927,-0.121951,-0.426829,0.490000,0.392000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,8213,0,9486685,901.809998,52.730000,0.078510,0.045788,0.988034,-0.182927,-0.060976,0.121951,0.637000,0.245000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,11160,0,9486695,901.809998,52.730000,0.115995,0.052503,0.997070,-0.121951,-0.060976,0.609756,0.588000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,7040,0,9486705,901.809998,52.730000,0.091941,0.061050,1.000366,0.000000,0.000000,0.548781,0.588000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
