capture_id,sample_id,bmi323_x_G,bmi323_y_G,bmi323_z_G,adxl375_x_G,adxl375_y_G,adxl375_z_G
0,0,-0.098413,-0.031502,0.998413,0.294000,0.245000,0.588000
0,1,-0.098779,-0.031380,0.999512,0.343000,0.245000,0.588000
0,2,-0.099145,-0.032234,0.997924,0.294000,0.245000,0.490000
0,3,-0.099878,-0.031136,0.999145,0.245000,0.245000,0.588000
0,4,-0.099390,-0.030891,0.998291,0.245000,0.343000,0.490000
0,5,-0.100611,-0.032357,0.998291,0.245000,0.245000,0.588000
0,6,-0.099023,-0.031502,0.998046,0.196000,0.196000,0.539000
0,7,-0.100488,-0.031746,1.000000,0.245000,0.245000,0.490000
0,8,-0.098046,-0.030037,0.998657,0.343000,0.294000,0.588000
0,9,-0.099634,-0.031624,0.999023,0.245000,0.343000,0.588000
0,10,-0.101343,-0.032112,0.998657,0.343000,0.294000,0.588000
0,11,-0.098535,-0.030037,0.998779,0.294000,0.294000,0.637000
0,12,-0.098901,-0.031624,0.997558,0.294000,0.245000,0.588000
0,13,-0.100122,-0.031258,0.998779,0.343000,0.392000,0.637000
0,14,-0.098901,-0.029915,0.999023,0.294000,0.294000,0.637000
0,15,-0.098046,-0.031502,0.996825,0.294000,0.294000,0.539000
0,16,-0.100000,-0.030403,0.999878,0.196000,0.196000,0.539000
0,17,-0.099390,-0.031990,0.998046,0.245000,0.245000,0.637000
0,18,-0.100611,-0.032357,1.000366,0.245000,0.294000,0.539000
0,19,-0.098657,-0.031258,0.999634,0.245000,0.245000,0.637000
0,20,-0.099634,-0.031380,0.998901,0.245000,0.294000,0.490000
0,21,-0.100000,-0.031990,0.998046,0.343000,0.294000,0.637000
0,22,-0.098535,-0.031013,0.999878,0.294000,0.294000,0.637000
0,23,-0.100000,-0.032112,0.997314,0.245000,0.294000,0.588000
0,24,-0.099878,-0.030525,0.998901,0.343000,0.245000,0.588000
0,25,-0.098657,-0.031136,0.998168,0.294000,0.245000,0.637000
0,26,-0.099512,-0.032479,0.997924,0.245000,0.245000,0.637000
0,27,-0.098535,-0.031990,0.998046,0.245000,0.294000,0.539000
0,28,-0.100977,-0.031868,0.997314,0.294000,0.294000,0.588000
0,29,-0.100366,-0.031990,0.998779,0.245000,0.294000,0.441000
0,30,-0.100244,-0.031746,0.999267,0.294000,0.196000,0.588000
0,31,-0.100122,-0.031136,0.998168,0.343000,0.245000,0.539000
0,32,-0.098535,-0.031136,0.999634,0.294000,0.196000,0.686000
0,33,-0.100366,-0.032845,0.998168,0.245000,0.245000,0.539000
0,34,-0.099390,-0.031502,0.997924,0.294000,0.294000,0.588000
0,35,-0.099512,-0.031258,0.998413,0.245000,0.245000,0.588000
0,36,-0.098535,-0.031746,0.997924,0.294000,0.245000,0.588000
0,37,-0.099634,-0.030891,0.999267,0.245000,0.245000,0.490000
0,38,-0.100122,-0.032723,0.997558,0.343000,0.245000,0.588000
0,39,-0.099267,-0.032601,0.998413,0.245000,0.196000,0.588000
0,40,-0.099878,-0.030769,0.999145,0.245000,0.343000,0.686000
0,41,-0.100366,-0.032234,0.996703,0.343000,0.343000,0.588000
0,42,-0.100366,-0.031380,0.996947,0.294000,0.294000,0.637000
0,43,-0.099390,-0.030647,0.999634,0.245000,0.294000,0.539000
0,44,-0.099634,-0.031258,0.999512,0.245000,0.245000,0.637000
0,45,-0.098779,-0.031624,0.999756,0.343000,0.294000,0.686000
0,46,-0.098413,-0.030891,0.996825,0.245000,0.294000,0.637000
0,47,-0.100000,-0.031624,0.999512,0.245000,0.245000,0.637000
0,48,-0.100122,-0.031624,0.998535,0.294000,0.245000,0.686000
0,49,-0.099512,-0.031502,0.997314,0.245000,0.196000,0.539000
0,50,-0.099267,-0.031624,0.998535,0.294000,0.294000,0.588000
0,51,-0.100366,-0.030159,0.997558,0.294000,0.196000,0.588000
0,52,-0.098901,-0.033333,0.998413,0.343000,0.196000,0.637000
0,53,-0.099390,-0.031746,1.000244,0.294000,0.196000,0.588000
0,54,-0.100000,-0.030769,0.999023,0.245000,0.294000,0.588000
0,55,-0.098901,-0.031380,1.000244,0.294000,0.294000,0.588000
0,56,-0.100733,-0.030769,0.999145,0.343000,0.294000,0.539000
0,57,-0.099878,-0.032357,0.998535,0.294000,0.294000,0.588000
0,58,-0.098779,-0.031990,0.997924,0.245000,0.294000,0.441000
0,59,-0.099756,-0.031013,0.998779,0.343000,0.196000,0.735000
0,60,-0.100733,-0.030891,0.998168,0.245000,0.294000,0.686000
0,61,-0.099390,-0.031624,1.000488,0.294000,0.245000,0.588000
0,62,-0.098413,-0.031258,0.998779,0.294000,0.196000,0.490000
0,63,-0.099756,-0.032357,0.997192,0.294000,0.245000,0.686000
0,64,-0.100488,-0.030403,1.000122,0.196000,0.196000,0.637000
0,65,-0.098291,-0.031746,0.998535,0.294000,0.294000,0.735000
0,66,-0.099267,-0.031013,0.997680,0.294000,0.294000,0.539000
0,67,-0.100611,-0.031136,0.999389,0.294000,0.245000,0.588000
0,68,-0.098901,-0.032357,0.999389,0.294000,0.294000,0.539000
0,69,-0.099878,-0.031624,0.998413,0.294000,0.294000,0.637000
0,70,-0.100366,-0.029792,0.999634,0.343000,0.245000,0.637000
0,71,-0.098901,-0.031258,0.997070,0.196000,0.245000,0.637000
0,72,-0.099878,-0.031380,0.998779,0.294000,0.245000,0.539000
0,73,-0.099023,-0.030769,0.998168,0.245000,0.245000,0.588000
0,74,-0.099512,-0.031258,0.999389,0.196000,0.245000,0.637000
0,75,-0.099512,-0.030647,0.997436,0.343000,0.245000,0.588000
0,76,-0.099023,-0.032357,0.999512,0.294000,0.245000,0.686000
0,77,-0.099634,-0.031746,0.998657,0.245000,0.294000,0.588000
0,78,-0.098535,-0.031746,0.998657,0.245000,0.245000,0.539000
0,79,-0.100366,-0.031868,0.998413,0.294000,0.245000,0.588000
0,80,-0.099634,-0.030403,0.997314,0.294000,0.196000,0.588000
0,81,-0.099023,-0.031502,0.999267,0.294000,0.245000,0.588000
0,82,-0.098779,-0.031258,0.999023,0.294000,0.196000,0.588000
0,83,-0.101954,-0.031624,0.999634,0.245000,0.245000,0.637000
0,84,-0.100733,-0.030159,0.999267,0.294000,0.343000,0.539000
0,85,-0.100122,-0.032723,0.997558,0.343000,0.245000,0.539000
0,86,-0.099390,-0.031624,0.998291,0.294000,0.245000,0.588000
0,87,-0.099756,-0.031502,0.997558,0.343000,0.294000,0.588000
0,88,-0.099145,-0.033578,0.999023,0.245000,0.245000,0.588000
0,89,-0.099390,-0.031013,0.998779,0.294000,0.294000,0.637000
0,90,-0.100244,-0.033455,0.999145,0.343000,0.245000,0.539000
0,91,-0.099145,-0.031013,0.998901,0.245000,0.294000,0.637000
0,92,-0.098657,-0.031502,0.997436,0.245000,0.245000,0.588000
0,93,-0.100611,-0.031502,0.998779,0.245000,0.245000,0.637000
0,94,-0.098779,-0.031746,0.999023,0.294000,0.245000,0.588000
0,95,-0.099878,-0.029548,0.997680,0.294000,0.245000,0.539000
0,96,-0.100733,-0.031502,0.998901,0.245000,0.294000,0.539000
0,97,-0.099512,-0.031136,0.999512,0.294000,0.245000,0.588000
0,98,-0.098168,-0.031990,0.997802,0.343000,0.343000,0.490000
0,99,-0.101099,-0.031258,0.997802,0.343000,0.245000,0.588000
1,0,-1.004274,0.008425,-0.006716,-0.588000,0.392000,-0.294000
1,1,-1.005494,0.009524,-0.008059,-0.490000,0.245000,-0.392000
1,2,-1.005617,0.007082,-0.008303,-0.539000,0.294000,-0.245000
1,3,-1.005739,0.008181,-0.007448,-0.539000,0.245000,-0.294000
1,4,-1.005006,0.009158,-0.008425,-0.490000,0.245000,-0.294000
1,5,-1.005372,0.008181,-0.007204,-0.588000,0.343000,-0.294000
1,6,-1.006593,0.008669,-0.007326,-0.490000,0.294000,-0.343000
1,7,-1.006227,0.009035,-0.006716,-0.539000,0.343000,-0.196000
1,8,-1.005739,0.009890,-0.007692,-0.637000,0.245000,-0.245000
1,9,-1.006349,0.008059,-0.006716,-0.539000,0.294000,-0.294000
1,10,-1.007448,0.008791,-0.007448,-0.637000,0.245000,-0.343000
1,11,-1.006593,0.008791,-0.008059,-0.588000,0.245000,-0.245000
1,12,-1.005983,0.008547,-0.007448,-0.539000,0.245000,-0.245000
1,13,-1.005739,0.008791,-0.008181,-0.588000,0.294000,-0.343000
1,14,-1.005617,0.007692,-0.008425,-0.539000,0.343000,-0.294000
1,15,-1.003785,0.007937,-0.008547,-0.588000,0.343000,-0.343000
1,16,-1.007204,0.008181,-0.006838,-0.588000,0.294000,-0.343000
1,17,-1.005250,0.008547,-0.008181,-0.441000,0.343000,-0.294000
1,18,-1.005006,0.009646,-0.007570,-0.539000,0.343000,-0.245000
1,19,-1.008425,0.008791,-0.008181,-0.637000,0.245000,-0.392000
1,20,-1.004274,0.009402,-0.008303,-0.588000,0.294000,-0.343000
1,21,-1.006105,0.008425,-0.008059,-0.588000,0.294000,-0.245000
