target_apogee_m,launch_rod_angle_deg,achieved_apogee_m
7000.0,0.0,7390.0082
7000.0,1.0,7386.5616
7000.0,2.0,7375.9320
7000.0,3.0,7358.1656
7000.0,4.0,7333.5444
7000.0,5.0,7304.1097
7000.0,6.0,7267.7867
7000.0,7.0,7224.9706
7000.0,8.0,7175.6424
7000.0,9.0,7122.2836
7000.0,10.0,7062.7021
7250.0,0.0,7390.0082
7250.0,1.0,7386.5601
7250.0,2.0,7375.9368
7250.0,3.0,7358.1666
7250.0,4.0,7333.5380
7250.0,5.0,7304.1120
7250.0,6.0,7267.7902
7250.0,7.0,7227.7866
7250.0,8.0,7178.2631
7250.0,9.0,7124.7103
7250.0,10.0,7091.0249
7500.0,0.0,7493.3135
7500.0,1.0,7492.1890
7500.0,2.0,7487.7721
7500.0,3.0,7480.7434
7500.0,4.0,7470.5507
7500.0,5.0,7454.2407
7500.0,6.0,7433.4346
7500.0,7.0,7417.3696
7500.0,8.0,7393.5391
7500.0,9.0,7365.9960
7500.0,10.0,7338.4328
7750.0,0.0,7742.7341
7750.0,1.0,7741.4478
7750.0,2.0,7736.6826
7750.0,3.0,7728.9676
7750.0,4.0,7717.8432
7750.0,5.0,7703.0895
7750.0,6.0,7681.0324
7750.0,7.0,7663.6336
7750.0,8.0,7634.4082
7750.0,9.0,7604.6541
7750.0,10.0,7574.2671
8000.0,0.0,7991.0481
8000.0,1.0,7989.5916
8000.0,2.0,7984.7030
8000.0,3.0,7975.9779
8000.0,4.0,7963.6921
8000.0,5.0,7947.5926
8000.0,6.0,7923.1992
8000.0,7.0,7903.7534
8000.0,8.0,7875.0835
8000.0,9.0,7842.3995
8000.0,10.0,7808.8090
8250.0,0.0,8239.1607
8250.0,1.0,8237.5172
8250.0,2.0,8232.1387
8250.0,3.0,8222.6716
8250.0,4.0,8209.4079
8250.0,5.0,8191.3908
8250.0,6.0,8164.8352
8250.0,7.0,8143.4986
8250.0,8.0,8112.3891
8250.0,9.0,8076.9544
8250.0,10.0,8040.2404
8500.0,0.0,8487.2847
8500.0,1.0,8485.4761
8500.0,2.0,8479.6843
8500.0,3.0,8469.3976
8500.0,4.0,8454.8511
8500.0,5.0,8435.4912
8500.0,6.0,8406.7494
8500.0,7.0,8383.2396
8500.0,8.0,8349.9459
8500.0,9.0,8311.3955
8500.0,10.0,8271.1667
8750.0,0.0,8737.8822
8750.0,1.0,8735.9487
8750.0,2.0,8729.6831
8750.0,3.0,8718.4859
8750.0,4.0,8702.4871
8750.0,5.0,8680.8675
8750.0,6.0,8650.1402
8750.0,7.0,8624.0055
8750.0,8.0,8587.1509
8750.0,9.0,8544.3216
8750.0,10.0,8500.2178
9000.0,0.0,8985.3708
9000.0,1.0,8983.1145
9000.0,2.0,8976.2345
9000.0,3.0,8964.2048
9000.0,4.0,8946.7376
9000.0,5.0,8924.0257
9000.0,6.0,8890.6002
9000.0,7.0,8862.0728
9000.0,8.0,8822.1951
9000.0,9.0,8744.3349
9000.0,10.0,8642.3782
9250.0,0.0,9198.5400
9250.0,1.0,9192.8623
9250.0,2.0,9175.7128
9250.0,3.0,9146.9492
9250.0,4.0,9106.9258
9250.0,5.0,9055.2316
9250.0,6.0,8992.8942
9250.0,7.0,8919.9763
9250.0,8.0,8836.7578
9250.0,9.0,8744.3550
9250.0,10.0,8642.3637
9500.0,0.0,9198.5399
9500.0,1.0,9192.8621
9500.0,2.0,9175.7087
9500.0,3.0,9146.9596
9500.0,4.0,9106.9284
9500.0,5.0,9055.2181
9500.0,6.0,8992.8847
9500.0,7.0,8919.9848
9500.0,8.0,8836.7758
9500.0,9.0,8744.3444
9500.0,10.0,8642.3619
9750.0,0.0,9198.5399
9750.0,1.0,9192.8597
9750.0,2.0,9175.7166
9750.0,3.0,9146.9618
9750.0,4.0,9106.9175
9750.0,5.0,9055.2216
9750.0,6.0,8992.8916
9750.0,7.0,8919.9996
9750.0,8.0,8836.7675
9750.0,9.0,8744.3409
9750.0,10.0,8642.3652
10000.0,0.0,9198.5400
10000.0,1.0,9192.8631
10000.0,2.0,9175.7152
10000.0,3.0,9146.9523
10000.0,4.0,9106.9211
10000.0,5.0,9055.2216
10000.0,6.0,8992.9053
10000.0,7.0,8919.9915
10000.0,8.0,8836.7620
10000.0,9.0,8744.3460
10000.0,10.0,8642.3659
